brand,title,reviews,price,image
Yemberzal,"Aari Embroidery Pashmini shawl with Oversized for 200""x70"" High in quality with light weight 310GM",0,49.0,https://m.media-amazon.com/images/I/61rZQg0RPoL._AC_UL960_FMwebp_QL65_.jpg
Yemberzal,"Traditional Kashmiri Badaam Embroidery Style Shawl oversized with measuring 200""x70"" and light weight 300GMS.",1,44.0,https://m.media-amazon.com/images/I/71Cb4Dcg-RL._AC_UL960_FMwebp_QL65_.jpg
Achillea,womens Bp-025 Pashmina Shawl,8,98.0,https://m.media-amazon.com/images/I/81ayP4fXEDL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,Women's Kashmiri Mughal Shawl - Jacquard Evening Wrap | Scarf Pashmina Gifts for Women,707,88.0,https://m.media-amazon.com/images/I/713NxmIqWAL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,Women's Kashmiri Mughal Shawl - Jacquard Evening Wrap | Scarf Pashmina Gifts for Women,707,126.0,https://m.media-amazon.com/images/I/71Y1bGCCpML._AC_UL960_FMwebp_QL65_.jpg
Pashtush,"Women's Kashmiri Embroidery Shawl, Jacquard Palla, Warm Ande Soft, Wool Design With Aari Needlework",1,111.0,https://m.media-amazon.com/images/I/81w7XW+mtVL._AC_UL960_FMwebp_QL65_.jpg
KASTWAVE,Soft Silky Reversible Paisley Pashmina Shawl Wrap Scarf w/Fringes,12,59.0,https://m.media-amazon.com/images/I/8147VbF6bRL._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,"Women's Pashmina Wool Blend Indian Handicraft Woven Shawls, Scarf, Wraps [Large Size: 40"" X 80""]",942,80.0,https://m.media-amazon.com/images/I/71YSmxQ4waL._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,womens Kani Shawl Pashmina Shawl,90,80.0,https://m.media-amazon.com/images/I/71gvVzeOAGL._AC_UL960_FMwebp_QL65_.jpg
Achillea,womens A-001 Classic,11000,86.0,https://m.media-amazon.com/images/I/81Umfsip+bL._AC_UL960_FMwebp_QL65_.jpg
The Kashmir Emporium,"Lightweight Thick Soft Pashmina Scarfs, Cashmere Shawls and Wraps for Women's",18,64.0,https://m.media-amazon.com/images/I/41xmPJKJrJL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Men Jamawar Shawl, Authentic Kashmiri Luxury Pashmina Style Shawl, Stole, Medium Size for Gents, (Size 101X203 CM)",576,133.0,https://m.media-amazon.com/images/I/61QYG897lfL._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,"Women's Faux Pashmina Silk Paisley Design Shawls, Stoles",1,80.0,https://m.media-amazon.com/images/I/81GSSizO1-L._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,"Women's Faux Pashmina Silk Paisley Design Shawls, Stoles",1,80.0,https://m.media-amazon.com/images/I/71Ck+2SJ5TL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Women Gulabkali Kashmiri Aari Embroidery Stole, Shawl, & Wrap, Luxury Pashmina Evening Wrap (Size: 28X80 Inches)",140,105.0,https://m.media-amazon.com/images/I/611YQcrVOXL._AC_UL960_FMwebp_QL65_.jpg
KASTWAVE,"Pashmina Scarf for Women, Silky Shawl Wrap for Evening Dress, Soft Blanket Poncho Cape",10,56.0,https://m.media-amazon.com/images/I/81gpD2tm6gL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Women's Kashmiri Mughal Shawl, Jacquard Shawl| Evening Wraps for Women | Women Shawl Wrap Scarf Pashmina Gifts",453,111.0,https://m.media-amazon.com/images/I/71Tju8pb7oL._AC_UL960_FMwebp_QL65_.jpg
Pashtush,"Women's Kashmiri Shawl, Faux Pashmina Design",138,106.0,https://m.media-amazon.com/images/I/71dxoLY8IEL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Women's Faux Pashmina Wool Jamawar Shawl, Luxury Kashmiri Pashmina Shawls, Stoles and Wraps (Size: 40X80 Inches)",5,124.0,https://m.media-amazon.com/images/I/81fiNyvh+KL._AC_UL960_FMwebp_QL65_.jpg
Lamca,Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women,323,35.0,https://m.media-amazon.com/images/I/81DlR+YCD+L._AC_UL960_FMwebp_QL65_.jpg
