web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,price,price2,data8,data9,data10,data11,data12,data13,price3,price4,data14,data15,data16,data17,data18,price5,data19,data20,data21,data22,price6,data23,price7,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,price8,price9,image,image2
"1780486405-1","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Yemberzal","Aari Embroidery Pashmini shawl with Oversized for 200""x70"" High in quality with light weight 310GM","","","","","","49.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","","","00","","","","AED 49.00","","","","Add to cart","","","","AED","","","","","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61rZQg0RPoL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-2","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Yemberzal","Traditional Kashmiri Badaam Embroidery Style Shawl oversized with measuring 200""x70"" and light weight 300GMS.","","","(1)","","","44.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","5.0","","00","","","","AED 44.00","","","","Add to cart","","","","AED","","","","5.0 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71Cb4Dcg-RL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-3","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Achillea","womens Bp-025 Pashmina Shawl","","","(8.5K)","+39","","98.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.7","","40","","","","AED 98.40","","","","Add to cart","","","","AED","","","","4.7 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81ayP4fXEDL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-4","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashmoda","Women's Kashmiri Mughal Shawl - Jacquard Evening Wrap | Scarf Pashmina Gifts for Women","","","(707)","","","88.","","FREE delivery 15 - 17 Jun","15 - 17 Jun","","","4.3","","52","","","","AED 88.52","","Ships from outside UAE","","Add to cart","","","","AED","","","","4.3 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/713NxmIqWAL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-5","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashmoda","Women's Kashmiri Mughal Shawl - Jacquard Evening Wrap | Scarf Pashmina Gifts for Women","","","(707)","","","126.","","FREE delivery 10 - 12 Jun","10 - 12 Jun","","","4.3","","75","","","","AED 126.75","","Ships from outside UAE","","Add to cart","","","","AED","","","","4.3 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71Y1bGCCpML._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-6","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashtush","Women's Kashmiri Embroidery Shawl, Jacquard Palla, Warm Ande Soft, Wool Design With Aari Needlework","","","(1.1K)","","","111.","","FREE delivery 10 - 12 Jun","10 - 12 Jun","","","4.0","","00","","","","AED 111.00","","","","Add to cart","","","","AED","","","","4.0 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81w7XW+mtVL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-7","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","KASTWAVE","Soft Silky Reversible Paisley Pashmina Shawl Wrap Scarf w/Fringes","","","(12)","","","59.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED66.66","4.2","","84","","List: AED 66.66","","AED 59.84","","","","Add to cart","List:","","","AED","AED 66.66","","","4.2 out of 5 stars","Limited time deal","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/8147VbF6bRL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-8","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Weavers Villa","Women's Pashmina Wool Blend Indian Handicraft Woven Shawls, Scarf, Wraps [Large Size: 40"" X 80""]","","","(942)","+12","","80.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.6","","00","","","","AED 80.00","","","","Add to cart","","","","AED","","","","4.6 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71YSmxQ4waL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-9","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Weavers Villa","womens Kani Shawl Pashmina Shawl","","","(90)","+4 other colors/patterns","","80.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.3","","00","","","","AED 80.00","","","","Add to cart","","","","AED","","","","4.3 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71gvVzeOAGL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-10","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Achillea","womens A-001 Classic","","","(11K)","+36","","86.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.6","","57","","","","AED 86.57","","#1 Top Rated","","Add to cart","","","","AED","","","","4.6 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81Umfsip+bL._AC_UL960_FMwebp_QL65_.jpg",""
