brand,title,price,source,market,scraped_date
Pashmoda,"Women's Faux Pashmina Jamawar Shawl, Wrap(SIZE: 40X80 Inches)",894.0,Amazon.in,India,2026-06-05
Pashmoda,"Women’s Kaani Wool Blend Shawl, Wrap",2589.0,Amazon.in,India,2026-06-05
Pashmoda,"Women's Faux Pashmina Jamawar Shawl, Wrap(SIZE: 40X80 Inches)",1139.0,Amazon.in,India,2026-06-05
Weavers Villa,"Amazon's Choicefor ""kashmiri pashmina shawl""",549.0,Amazon.in,India,2026-06-05
Pashmoda,Women Firoza Kashmiri Aari Embroidery Stole (Size: 71X203 CM),1189.0,Amazon.in,India,2026-06-05
Pashtush,"Women's Kashmiri Woolen Shawl, Jacquard palla, Warm and soft, Faux Pashmina",1339.0,Amazon.in,India,2026-06-05
Weavers Villa,Women's Shawl,499.0,Amazon.in,India,2026-06-05
Pashtush,"Women's Faux Pashmina Shawl, design, Ivory",1599.0,Amazon.in,India,2026-06-05
Pashmoda,"Men Jamawar Shawl, Authentic Kashmiri Luxury Pashmina Style Shawl, Stole",1139.0,Amazon.in,India,2026-06-05
Pashmoda,"Women Kashmiri Royal Paisley Design Jamawar Shawl, Jacquard Shawls (Size: 101 X 203 CM)",894.0,Amazon.in,India,2026-06-05
Pashtush,"Women's Kashmiri Woolen Shawl, Jacquard palla, Warm and soft, Faux Pashmina",1299.0,Amazon.in,India,2026-06-05
Pashtush,"Women's Kashmiri Shawl, Faux Pashmina Design",1339.0,Amazon.in,India,2026-06-05
Generic,Homeevo Maroon Woolen Kashmiri Shawl for Women | Warm Stylish Pashmina Winter Stole | Soft Designer Ethnic Shawl for Ladies – Maroon,459.0,Amazon.in,India,2026-06-05
Pashmoda,"Women Mehroom Zari Kaani Border Fine Wool Shawl, Shawl, Scarf, Heritage Kashmiri Pashmina Stole, Evening Wrap (Size: 101 X 203 CM)",3789.0,Amazon.in,India,2026-06-05
Pashmoda,Women Gulnari Kaani Wool Blend Stole (Size : 71X203 CM),894.0,Amazon.in,India,2026-06-05
Pashmoda,"Women Gulbahar Kaani Wool Blend Kashmiri Shawl, Stole, Scarf, Luxury Pashmina Evening Wrap (Size: 101 X 203 CM)",2289.0,Amazon.in,India,2026-06-05
Pashmoda,Women Surmai Kaani Wool Blend Kashmiri Shawl (Size: 101X203 CM),2289.0,Amazon.in,India,2026-06-05
Weavers Villa,Women's Shawl,1039.0,Amazon.in,India,2026-06-05
Pashtush,"Women's Kashmiri Shawl, Faux Pashmina Design",1339.0,Amazon.in,India,2026-06-05
