title,shop,sales,rating,sale_price,original_price,discount,image
Pashmina Shawl with Intricate Bird and Floral Jaal Motif | Authentic Kashmiri Needlework Wrap,TRENDINGWAVESCRAFT,,4.2,6761.0,13522.0,(50% off),https://i.etsystatic.com/63337261/r/il/dae278/8127284573/il_765x1020.8127284573_nxnc.jpg
Authentic kashmiri pashmina handmade tilla shawl 40x80 inch Tildar RUZA,Houseofmirs,,4.9,43825.0,62608.0,(30% off),https://i.etsystatic.com/23761665/r/il/d3be9f/8013985672/il_765x1020.8013985672_sg4p.jpg
Hand Embroidered on pure Pashmina Shawl: Kashmiri Wool Scarf (45x95),TooshPashminashawl,,4.7,16159.0,20199.0,(20% off),https://i.etsystatic.com/25734426/r/il/779b36/7568480548/il_765x1020.7568480548_pfpv.jpg
Multi Embroidered Pashmina Shawl | Floral Aari Embroidery Kashmiri Wrap,TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/d78297/7648279401/il_765x1020.7648279401_qh2s.jpg
"Luxury Embroidered Pashmina Shawl, Ivory Kashmiri Wrap",TRENDINGWAVESCRAFT,,4.2,7061.0,14123.0,(50% off),https://i.etsystatic.com/63337261/r/il/9498b3/8125640455/il_765x1020.8125640455_1hir.jpg
Kani Weave luxury-feel fabric Pashmina Shawl: Black & Beige Winter Wrap (40x80 inches),JKSowling,,4.8,12926.0,16158.0,(20% off),https://i.etsystatic.com/26145373/r/il/f24b5a/7176342209/il_765x1020.7176342209_ibpe.jpg
Authentic Kashmiri Pashmina Shawl – Hand Embroidered Aari Work | Luxury Winter Wrap | Bridal Gift | Warm Soft Scarf,SaniaLoom,,1.0,7438.0,9917.0,(25% off),https://i.etsystatic.com/57980406/r/il/9fc3f2/7602468631/il_765x1020.7602468631_6g01.jpg
Handwoven Pashmina Shawl: Kashmiri Embroidered Wrap (40x80),PashminaVogue,,4.9,165000.0,220000.0,(25% off),https://i.etsystatic.com/41369862/r/il/07d0af/5548183742/il_765x1020.5548183742_s7qq.jpg
"Handmade white Pashmina Shawl, Kashmiri Sozni Embroidery, Wedding Gift",GiftedHandsIN,,4.7,62643.0,113896.0,(45% off),https://i.etsystatic.com/16722354/r/il/f44038/7931586783/il_765x1020.7931586783_aow6.jpg
Pashmina Embroidered Shawl for Women : Beige Silver Kashmiri Scarf,TRENDINGWAVESCRAFT,,4.2,6660.0,13322.0,(50% off),https://i.etsystatic.com/63337261/r/il/3796d1/8081363004/il_765x1020.8081363004_46gu.jpg
Pashmina Shawl: Soft Cozy Wrap (40x90 inches),TooshPashminashawl,,4.7,2478.0,3097.0,(20% off),https://i.etsystatic.com/25734426/r/il/f5f130/7207086186/il_765x1020.7207086186_dvzc.jpg
Embroidered Pashmina Shawl | Intricate Paisley Aari Embroidery Wrap,TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/5fae68/8082340046/il_765x1020.8082340046_swla.jpg
Luxury Hand-Embroidered Pashmina Shawl for Women - Black Kashmiri Floral Wrap,KashmirWeaves,,,7161.0,13021.0,(45% off),https://i.etsystatic.com/65465595/r/il/6c8f17/7904529138/il_765x1020.7904529138_bk32.jpg
"Fine quality Greyish Kashmiri Pashmina Kani Weave Shawl – Very Soft, Lightweight (120g)  Wrap (40x80Inches)",JKSowling,,4.8,14219.0,17774.0,(20% off),https://i.etsystatic.com/26145373/r/il/5a8995/7845836285/il_765x1020.7845836285_h87d.jpg
"Kashmiri Wool Shawl: Embroidered Border, Lightweight Pashmina Feel",Kashmina786,,4.8,10218.0,12021.0,(15% off),https://i.etsystatic.com/17750182/r/il/8a96b8/5346097433/il_765x1020.5346097433_6sva.jpg
Authentic Pashmina Kani Shawl | Luxury Mughal Art Embroidered Wrap,TRENDINGWAVESCRAFT,,4.2,11118.0,22237.0,(50% off),https://i.etsystatic.com/63337261/r/il/d41536/8076243242/il_765x1020.8076243242_7yme.jpg
"Authentic 100 % Pashmina Wedding Shawl, Black & Gold, Sozni Hand Embroidery, Handwoven Kashmiri Artisan Scarf, Luxury Wrap, Gift for Her",HouseofArtiglo,,5.0,26045.0,40069.0,(35% off),https://i.etsystatic.com/63620573/c/1013/1013/5/27/il/2fe90b/7968426669/il_765x1020.7968426669_4sfu.jpg
Kani Moonlight Pashmina Shawl for Woman: Handwoven Kashmiri Shawl,Shawsans,,4.7,12554.0,25107.0,(50% off),https://i.etsystatic.com/59740729/c/757/757/51/280/il/8839f2/7680608171/il_765x1020.7680608171_erym.jpg
"Authentic 100 % Pashmina Wedding Shawl, Blush Pink, Sozni Hand Embroidery, Handwoven Kashmiri Artisan Scarf, Luxury Wrap, Gift for Her",HouseofArtiglo,,5.0,26045.0,40069.0,(35% off),https://i.etsystatic.com/63620573/c/855/855/3/37/il/83632b/7766270974/il_765x1020.7766270974_ntdj.jpg
Kashmiri Embroidered Pashmina Shawl for Women: Christmas Gift,ShawsanShop,,4.9,6518.0,13037.0,(50% off),https://i.etsystatic.com/61780180/c/1086/1086/0/181/il/fde7c2/8084759729/il_765x1020.8084759729_m94r.jpg
"Hand Embroidered Kalamkari Pashmina Shawl – Authentic Kashmiri Wrap, Winter Wedding Scarf",Indusweavers,,5.0,186311.0,232889.0,(20% off),https://i.etsystatic.com/36297693/r/il/9e7268/5338486971/il_765x1020.5338486971_lwkp.jpg
"Beige Kashmiri Pashmina Shawl, Floral Chain Stitch Embroidery (40 X 80 Inches)",JKSowling,,4.8,28116.0,35145.0,(20% off),https://i.etsystatic.com/26145373/c/2163/2163/0/603/il/760594/7570980648/il_765x1020.7570980648_hacd.jpg
"Kashmiri Kani Embroidered Pashmina Shawl, Soft Winter Wrap (40x80 inches)",JKSowling,,4.8,9414.0,11768.0,(20% off),https://i.etsystatic.com/26145373/c/962/962/82/223/il/f2324b/7973800639/il_765x1020.7973800639_tt0x.jpg
"Beige Kashmiri Pashmina Shawl, Kaani Embroidered Wool Wrap",JKSowling,,4.8,13572.0,16966.0,(20% off),https://i.etsystatic.com/26145373/r/il/c20231/7668697194/il_765x1020.7668697194_nmk2.jpg
