web_scraper_order,web_scraper_start_url,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,name2,data13,data14,data15,price,data16,title3,data17,data18,data19,data20,data21,data22,image
"1780573623-1","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Natural Beige Cashmere Wrap, Ultra-Soft |KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","22,178","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1684/1684/0/422/il/65973e/8060629216/il_765x1020.8060629216_f77l.jpg"
"1780573623-2","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Amethyst Purple and Slate Gray, Dual Gradient Ombre Scarf (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","24,265","","","5.0","","","","(3)","More like this","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/5e1707/8093861832/il_765x1020.8093861832_g440.jpg"
"1780573623-3","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Sage Green Wrap, Ultra-Soft |KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","22,178","","","5.0","","","","(3)","More like this","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1682/1682/0/423/il/4e6e2d/8072223276/il_765x1020.8072223276_4j4b.jpg"
"1780573623-4","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Buttery Cream Yellow Wrap, Ultra-Soft |KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","22,178","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1684/1684/0/422/il/5fecca/8122150941/il_765x1020.8122150941_8ldg.jpg"
"1780573623-5","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Natural Undyed Hand Embroidered Pure Pashmina Shawl | Kashmiri Scarf | Handloomed beige Cashmere Wrap","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","38,738","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/033be0/7971009261/il_765x1020.7971009261_jr1u.jpg"
"1780573623-6","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Midnight Teal Blue | Ultra-Soft Lightweight | KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","22,178","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/ec2e2b/8121639901/il_765x1020.8121639901_swiw.jpg"
"1780573623-7","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","BODHI - Large Pashmina Shawl, Handwoven in Kashmir, Ethically Sourced","By EspritdelHimalaya","From shop EspritdelHimalaya","EspritdelHimalaya","39,226","","","5.0","","","","(181)","More like this","Designed by EspritdelHimalaya","Shop owned by Andréa","EspritdelHimalaya","Add to cart","4 years on Etsy","Andréa","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","","₹","","","","https://i.etsystatic.com/30383319/r/il/25deb8/6956978167/il_765x1020.6956978167_3edi.jpg"
"1780573623-8","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Pashmina Shawl with Intricate Bird and Floral Jaal Motif | Authentic Kashmiri Needlework Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,761","6,761","4.2","13,522","Original Price ₹ 13,522","(50% off)","(5)","More like this","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","Add to cart","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/dae278/8127284573/il_765x1020.8127284573_nxnc.jpg"
"1780573623-9","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100%  Pure Kashmiri Pashmina Shawl, Handwoven Ivory Cashmere Wrap, Ultra-Soft Lightweight Luxury Gift for Women & Weddings","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","21,919","","","5.0","","","","(3)","More like this","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/98dbfe/8071260423/il_765x1020.8071260423_dd21.jpg"
"1780573623-10","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic kashmiri pashmina handmade tilla shawl 40x80 inch Tildar RUZA","Ad・By Houseofmirs","Ad from shop houseofmirs","Houseofmirs","","Sale Price ₹ 43,825","43,825","4.9","62,608","Original Price ₹ 62,608","(30% off)","(189)","More like this","Made by houseofmirs","Shop owned by Mir","houseofmirs","Add to cart","5 years on Etsy","Mir","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/23761665/r/il/d3be9f/8013985672/il_765x1020.8013985672_sg4p.jpg"
