web_scraper_order,web_scraper_start_url,pagination,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,price,data17,title3,data18,data19,data20,data21,data22,data23,image
"1780573798-1","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Handwoven Kashmiri Pashmina Scarf: Pashmina Bridal Shawl, GI Tagged","Ad・By PashminaVogue","Ad from shop PashminaVogue","PashminaVogue","","Sale Price ₹ 48,750","48,750","4.9","65,000","Original Price ₹ 65,000","(25% off)","(200)","More like this","Add to cart","Made by PashminaVogue","Shop owned by Shahdab Ahmad","PashminaVogue","3 years on Etsy","Shahdab Ahmad","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/41369862/r/il/1aae08/5902646661/il_765x1020.5902646661_tcry.jpg"
"1780573798-2","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Handmade Kashmiri Pashmina Scarf | 100% Pure Soft Wool Artisan Wrap","Ad・By ThreadAndDesignArt","Ad from shop ThreadAndDesignArt","ThreadAndDesignArt","","Sale Price ₹ 15,439","15,439","5.0","20,586","Original Price ₹ 20,586","(25% off)","(2)","More like this","Add to cart","Made by ThreadAndDesignArt","Shop owned by Sahib","ThreadAndDesignArt","10 months on Etsy","Sahib","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/60754467/r/il/1d0aa8/7854771806/il_765x1020.7854771806_lq5u.jpg"
"1780573798-3","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Handmade Kashmir Pashmina Shawl, Jamawar Embroidery, Wedding Shawl","Ad・By GiftedHandsIN","Ad from shop GiftedHandsIN","GiftedHandsIN","","Sale Price ₹ 249,965","249,965","4.7","454,482","Original Price ₹ 454,482","(45% off)","(131)","More like this","Add to cart","Made by GiftedHandsIN","Shop owned by Abdul Rasheed","GiftedHandsIN","7 years on Etsy","Abdul Rasheed","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/16722354/r/il/5d9853/7881100143/il_765x1020.7881100143_5tm6.jpg"
"1780573798-4","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Ivory Kani Pashmina Shawl | Handloomed Floral Wrap | Soft Lightweight Wool Shawl | Elegant Winter Stole | Kashmir Handmade Scarf","Ad・By ShahkaarKashmir","Ad from shop ShahkaarKashmir","ShahkaarKashmir","250,331","","","4.9","","","","(829)","More like this","Add to cart","Made by ShahkaarKashmir","Shop owned by Abdul Manan","ShahkaarKashmir","8 years on Etsy","Abdul Manan","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","","₹","","・","","https://i.etsystatic.com/16835313/r/il/99cc07/6997911468/il_765x1020.6997911468_e3nv.jpg"
"1780573798-5","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Pakistani Embroidered Pashmina Shawl: Kashmiri Embroidery, Wedding Gift","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 5,905","5,905","4.7","11,810","Original Price ₹ 11,810","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/1024/1024/0/98/il/4d1088/7186497732/il_765x1020.7186497732_5fu2.jpg"
"1780573798-6","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Luxury  Pashmina Paisley Shawl: Soft Peach Kashmiri-Inspired Design","By PalishqCollections0","From shop PalishqCollections0","PalishqCollections0","21,619","","","5.0","","","","(19)","More like this","Add to cart","Made by PalishqCollections0","Shop owned by Jaswinder","PalishqCollections0","1.5 years on Etsy","Jaswinder","","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/56023419/r/il/a2db7f/7754800192/il_765x1020.7754800192_p1jy.jpg"
"1780573798-7","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Kashmiri Pashmina Kani Embroidered Shawl, Winter Wrap oft Ethnic Shawl for Women, Traditional Gift for Her","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 8,009","8,009","4.7","16,018","Original Price ₹ 16,018","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/2000/2000/0/140/il/7117ae/7029012800/il_765x1020.7029012800_cdam.jpg"
"1780573798-8","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Authentic Pure Handwoven Kashmiri Pashmina Shawl, Black & Gold Zari, Reversible Double-Sided (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","33,358","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/65cf8f/8080997616/il_765x1020.8080997616_345o.jpg"
"1780573798-9","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Authentic Pure Handwoven Kashmiri Pashmina Shawl, Cherry Red & Gold Zari, Reversible Double-Sided (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","33,358","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/c/1664/1664/0/459/il/3a5c22/8081870394/il_765x1020.8081870394_7mg1.jpg"
"1780573798-10","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Cream White Embroidered Pashmina Shawl : Kashmiri Floral Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/4af259/7912158236/il_765x1020.7912158236_ebi4.jpg"
