web_scraper_order,web_scraper_start_url,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,price,data16,title3,data17,data18,data19,data20,data21,data22,data23,image
"1780573853-1","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kashmiri Pashmina Shawl – Hand Embroidered Sozni Pashmina Scarf","Ad・By PashminaVogue","Ad from shop PashminaVogue","PashminaVogue","Sale Price ₹ 54,000","54,000","","4.9","72,000","Original Price ₹ 72,000","(25% off)","(200)","More like this","Add to cart","Made by PashminaVogue","PashminaVogue","3 years on Etsy","Shahdab Ahmad","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","","・","₹","https://i.etsystatic.com/41369862/r/il/81181a/7778841465/il_765x1020.7778841465_h1zr.jpg"
"1780573853-2","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Kashmiri Pashmina Scarf | 100% Pure Soft Wool Artisan Wrap","Ad・By ThreadAndDesignArt","Ad from shop ThreadAndDesignArt","ThreadAndDesignArt","Sale Price ₹ 15,439","15,439","","5.0","20,586","Original Price ₹ 20,586","(25% off)","(2)","More like this","Add to cart","Made by ThreadAndDesignArt","ThreadAndDesignArt","10 months on Etsy","Sahib","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","","・","₹","https://i.etsystatic.com/60754467/r/il/cec0fd/7902752907/il_765x1020.7902752907_tiw4.jpg"
"1780573853-3","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handloom Pashmina Shawl, Kani Weave Kashmiri Floral Design","Ad・By VoguebyFJ","Ad from shop VoguebyFJ","VoguebyFJ","","","12,021","4.4","","","","(23)","More like this","Add to cart","Made by VoguebyFJ","VoguebyFJ","","","Free delivery","","","Add to Favourites","11 months on Etsy","","","₹","・","","https://i.etsystatic.com/59881000/r/il/8c8e72/7762605527/il_765x1020.7762605527_4473.jpg"
"1780573853-4","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","NPIA Certified 100% Pure Cashmere Pashmina | The Coffee Collection (Mocha, Chocolate, Taupe) | Handwoven Nepal Wrap | Ultra-Soft 16 Micron","Ad・By LumusaePashmina","Ad from shop LumusaePashmina","LumusaePashmina","Sale Price ₹ 11,955","11,955","","4.9","14,943","Original Price ₹ 14,943","(20% off)","(184)","More like this","Add to cart","Made by LumusaePashmina","LumusaePashmina","1.5 years on Etsy","Shivani","Free delivery","","","Add to Favourites","","Loading","₹","","・","₹","https://i.etsystatic.com/56010123/r/il/f46235/6638318487/il_765x1020.6638318487_a8v7.jpg"
"1780573853-5","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kashmiri Pashmina Kani Weave Shawl: Beige Multicoloured Winter Wrap","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 15,619","15,619","","4.8","19,524","Original Price ₹ 19,524","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/26145373/r/il/dc44c9/6799246650/il_765x1020.6799246650_luhk.jpg"
"1780573853-6","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kashmiri Embroidery Black Pashmina Shawl : Elegant Kashmiri Wrap","By KashmirWeaves","From shop KashmirWeaves","KashmirWeaves","Sale Price ₹ 7,878","7,878","","","14,324","Original Price ₹ 14,324","(45% off)","","More like this","Add to cart","Made by KashmirWeaves","KashmirWeaves","1 month on Etsy","Kashmiri","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/65465595/r/il/e9ad3d/8022993551/il_765x1020.8022993551_dzwu.jpg"
"1780573853-7","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Black Kashmiri Pashmina Shawl, Floral Chain Stitch Embroidery (40x80 Inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 28,548","28,548","","4.8","35,685","Original Price ₹ 35,685","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/26145373/r/il/4ae126/7571023404/il_765x1020.7571023404_ly7l.jpg"
"1780573853-8","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxurious Beige Pashmina Kani Weave Shawl Very Soft, Lightweight (120g) Wrap (40x80 Inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 12,495","12,495","","4.8","15,619","Original Price ₹ 15,619","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/26145373/c/993/993/0/464/il/26aeb6/7674340055/il_765x1020.7674340055_2qrl.jpg"
"1780573853-9","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Embroidered Sozni Pashmina Shawl: Multicolor Needlework Kashmiri Shawl (114x228 cms)","By Kashmina786","From shop Kashmina786","Kashmina786","Sale Price ₹ 29,376","29,376","","4.8","34,559","Original Price ₹ 34,559","(15% off)","(24)","More like this","Add to cart","By Kashmina786","Kashmina786","7 years on Etsy","Umer","Free delivery","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/17750182/r/il/a62e31/6849865074/il_765x1020.6849865074_p8cr.jpg"
"1780573853-10","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxury Embroidered Pashmina Shawl for Women - Grey Floral Kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","Sale Price ₹ 6,761","6,761","","4.2","13,522","Original Price ₹ 13,522","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/63337261/r/il/d2967a/7929446600/il_765x1020.7929446600_qcsw.jpg"
