"Time","pashmina"
"2021-06-01",23
"2021-07-01",38
"2021-08-01",29
"2021-09-01",31
"2021-10-01",34
"2021-11-01",53
"2021-12-01",54
"2022-01-01",57
"2022-02-01",38
"2022-03-01",28
"2022-04-01",25
"2022-05-01",25
"2022-06-01",39
"2022-07-01",28
"2022-08-01",29
"2022-09-01",41
"2022-10-01",38
"2022-11-01",81
"2022-12-01",70
"2023-01-01",64
"2023-02-01",41
"2023-03-01",28
"2023-04-01",25
"2023-05-01",24
"2023-06-01",28
"2023-07-01",26
"2023-08-01",39
"2023-09-01",37
"2023-10-01",53
"2023-11-01",83
"2023-12-01",95
"2024-01-01",80
"2024-02-01",52
"2024-03-01",39
"2024-04-01",26
"2024-05-01",37
"2024-06-01",75
"2024-07-01",52
"2024-08-01",40
"2024-09-01",33
"2024-10-01",39
"2024-11-01",58
"2024-12-01",69
"2025-01-01",61
"2025-02-01",40
"2025-03-01",31
"2025-04-01",27
"2025-05-01",24
"2025-06-01",27
"2025-07-01",27
"2025-08-01",30
"2025-09-01",31
"2025-10-01",47
"2025-11-01",79
"2025-12-01",100
"2026-01-01",82
"2026-02-01",57
"2026-03-01",47
"2026-04-01",32
"2026-05-01",29
