title,brand,price,rating,image,source
Pashmina Shawl with Intricate Bird and Floral Jaal Motif | Authentic Kashmiri Needlework Wrap,TRENDINGWAVESCRAFT,6761.0,4.2,https://i.etsystatic.com/63337261/r/il/dae278/8127284573/il_765x1020.8127284573_nxnc.jpg,Etsy
Authentic kashmiri pashmina handmade tilla shawl 40x80 inch Tildar RUZA,Houseofmirs,43825.0,4.9,https://i.etsystatic.com/23761665/r/il/d3be9f/8013985672/il_765x1020.8013985672_sg4p.jpg,Etsy
Hand Embroidered on pure Pashmina Shawl: Kashmiri Wool Scarf (45x95),TooshPashminashawl,16159.0,4.7,https://i.etsystatic.com/25734426/r/il/779b36/7568480548/il_765x1020.7568480548_pfpv.jpg,Etsy
Multi Embroidered Pashmina Shawl | Floral Aari Embroidery Kashmiri Wrap,TRENDINGWAVESCRAFT,6160.0,4.2,https://i.etsystatic.com/63337261/r/il/d78297/7648279401/il_765x1020.7648279401_qh2s.jpg,Etsy
"Luxury Embroidered Pashmina Shawl, Ivory Kashmiri Wrap",TRENDINGWAVESCRAFT,7061.0,4.2,https://i.etsystatic.com/63337261/r/il/9498b3/8125640455/il_765x1020.8125640455_1hir.jpg,Etsy
Kani Weave luxury-feel fabric Pashmina Shawl: Black & Beige Winter Wrap (40x80 inches),JKSowling,12926.0,4.8,https://i.etsystatic.com/26145373/r/il/f24b5a/7176342209/il_765x1020.7176342209_ibpe.jpg,Etsy
Authentic Kashmiri Pashmina Shawl – Hand Embroidered Aari Work | Luxury Winter Wrap | Bridal Gift | Warm Soft Scarf,SaniaLoom,7438.0,1.0,https://i.etsystatic.com/57980406/r/il/9fc3f2/7602468631/il_765x1020.7602468631_6g01.jpg,Etsy
Handwoven Pashmina Shawl: Kashmiri Embroidered Wrap (40x80),PashminaVogue,165000.0,4.9,https://i.etsystatic.com/41369862/r/il/07d0af/5548183742/il_765x1020.5548183742_s7qq.jpg,Etsy
"Handmade white Pashmina Shawl, Kashmiri Sozni Embroidery, Wedding Gift",GiftedHandsIN,62643.0,4.7,https://i.etsystatic.com/16722354/r/il/f44038/7931586783/il_765x1020.7931586783_aow6.jpg,Etsy
Pashmina Embroidered Shawl for Women : Beige Silver Kashmiri Scarf,TRENDINGWAVESCRAFT,6660.0,4.2,https://i.etsystatic.com/63337261/r/il/3796d1/8081363004/il_765x1020.8081363004_46gu.jpg,Etsy
Pashmina Shawl: Soft Cozy Wrap (40x90 inches),TooshPashminashawl,2478.0,4.7,https://i.etsystatic.com/25734426/r/il/f5f130/7207086186/il_765x1020.7207086186_dvzc.jpg,Etsy
Embroidered Pashmina Shawl | Intricate Paisley Aari Embroidery Wrap,TRENDINGWAVESCRAFT,6160.0,4.2,https://i.etsystatic.com/63337261/r/il/5fae68/8082340046/il_765x1020.8082340046_swla.jpg,Etsy
Luxury Hand-Embroidered Pashmina Shawl for Women - Black Kashmiri Floral Wrap,KashmirWeaves,7161.0,,https://i.etsystatic.com/65465595/r/il/6c8f17/7904529138/il_765x1020.7904529138_bk32.jpg,Etsy
"Fine quality Greyish Kashmiri Pashmina Kani Weave Shawl – Very Soft, Lightweight (120g)  Wrap (40x80Inches)",JKSowling,14219.0,4.8,https://i.etsystatic.com/26145373/r/il/5a8995/7845836285/il_765x1020.7845836285_h87d.jpg,Etsy
"Kashmiri Wool Shawl: Embroidered Border, Lightweight Pashmina Feel",Kashmina786,10218.0,4.8,https://i.etsystatic.com/17750182/r/il/8a96b8/5346097433/il_765x1020.5346097433_6sva.jpg,Etsy
Authentic Pashmina Kani Shawl | Luxury Mughal Art Embroidered Wrap,TRENDINGWAVESCRAFT,11118.0,4.2,https://i.etsystatic.com/63337261/r/il/d41536/8076243242/il_765x1020.8076243242_7yme.jpg,Etsy
"Authentic 100 % Pashmina Wedding Shawl, Black & Gold, Sozni Hand Embroidery, Handwoven Kashmiri Artisan Scarf, Luxury Wrap, Gift for Her",HouseofArtiglo,26045.0,5.0,https://i.etsystatic.com/63620573/c/1013/1013/5/27/il/2fe90b/7968426669/il_765x1020.7968426669_4sfu.jpg,Etsy
Kani Moonlight Pashmina Shawl for Woman: Handwoven Kashmiri Shawl,Shawsans,12554.0,4.7,https://i.etsystatic.com/59740729/c/757/757/51/280/il/8839f2/7680608171/il_765x1020.7680608171_erym.jpg,Etsy
"Authentic 100 % Pashmina Wedding Shawl, Blush Pink, Sozni Hand Embroidery, Handwoven Kashmiri Artisan Scarf, Luxury Wrap, Gift for Her",HouseofArtiglo,26045.0,5.0,https://i.etsystatic.com/63620573/c/855/855/3/37/il/83632b/7766270974/il_765x1020.7766270974_ntdj.jpg,Etsy
Kashmiri Embroidered Pashmina Shawl for Women: Christmas Gift,ShawsanShop,6518.0,4.9,https://i.etsystatic.com/61780180/c/1086/1086/0/181/il/fde7c2/8084759729/il_765x1020.8084759729_m94r.jpg,Etsy
"Hand Embroidered Kalamkari Pashmina Shawl – Authentic Kashmiri Wrap, Winter Wedding Scarf",Indusweavers,186311.0,5.0,https://i.etsystatic.com/36297693/r/il/9e7268/5338486971/il_765x1020.5338486971_lwkp.jpg,Etsy
"Beige Kashmiri Pashmina Shawl, Floral Chain Stitch Embroidery (40 X 80 Inches)",JKSowling,28116.0,4.8,https://i.etsystatic.com/26145373/c/2163/2163/0/603/il/760594/7570980648/il_765x1020.7570980648_hacd.jpg,Etsy
"Kashmiri Kani Embroidered Pashmina Shawl, Soft Winter Wrap (40x80 inches)",JKSowling,9414.0,4.8,https://i.etsystatic.com/26145373/c/962/962/82/223/il/f2324b/7973800639/il_765x1020.7973800639_tt0x.jpg,Etsy
"Beige Kashmiri Pashmina Shawl, Kaani Embroidered Wool Wrap",JKSowling,13572.0,4.8,https://i.etsystatic.com/26145373/r/il/c20231/7668697194/il_765x1020.7668697194_nmk2.jpg,Etsy
