"Time","pashmina shawls"
"2021-06-01",35
"2021-07-01",73
"2021-08-01",52
"2021-09-01",51
"2021-10-01",56
"2021-11-01",47
"2021-12-01",47
"2022-01-01",41
"2022-02-01",28
"2022-03-01",28
"2022-04-01",24
"2022-05-01",31
"2022-06-01",30
"2022-07-01",33
"2022-08-01",28
"2022-09-01",35
"2022-10-01",33
"2022-11-01",44
"2022-12-01",41
"2023-01-01",40
"2023-02-01",31
"2023-03-01",24
"2023-04-01",28
"2023-05-01",29
"2023-06-01",33
"2023-07-01",33
"2023-08-01",26
"2023-09-01",31
"2023-10-01",35
"2023-11-01",40
"2023-12-01",50
"2024-01-01",40
"2024-02-01",28
"2024-03-01",23
"2024-04-01",26
"2024-05-01",24
"2024-06-01",21
"2024-07-01",27
"2024-08-01",23
"2024-09-01",34
"2024-10-01",29
"2024-11-01",41
"2024-12-01",57
"2025-01-01",43
"2025-02-01",33
"2025-03-01",26
"2025-04-01",22
"2025-05-01",27
"2025-06-01",21
"2025-07-01",22
"2025-08-01",34
"2025-09-01",35
"2025-10-01",42
"2025-11-01",67
"2025-12-01",80
"2026-01-01",63
"2026-02-01",100
"2026-03-01",30
"2026-04-01",36
"2026-05-01",35
