date,interest,region
2021-07-01,73,Worldwide
2021-08-01,52,Worldwide
2021-09-01,51,Worldwide
2021-10-01,56,Worldwide
2021-11-01,47,Worldwide
2021-12-01,47,Worldwide
2022-01-01,41,Worldwide
2022-02-01,28,Worldwide
2022-03-01,28,Worldwide
2022-04-01,24,Worldwide
2022-05-01,31,Worldwide
2022-06-01,30,Worldwide
2022-07-01,33,Worldwide
2022-08-01,28,Worldwide
2022-09-01,35,Worldwide
2022-10-01,33,Worldwide
2022-11-01,44,Worldwide
2022-12-01,41,Worldwide
2023-01-01,40,Worldwide
2023-02-01,31,Worldwide
2023-03-01,24,Worldwide
2023-04-01,28,Worldwide
2023-05-01,29,Worldwide
2023-06-01,33,Worldwide
2023-07-01,33,Worldwide
2023-08-01,26,Worldwide
2023-09-01,31,Worldwide
2023-10-01,35,Worldwide
2023-11-01,40,Worldwide
2023-12-01,50,Worldwide
2024-01-01,40,Worldwide
2024-02-01,28,Worldwide
2024-03-01,23,Worldwide
2024-04-01,26,Worldwide
2024-05-01,24,Worldwide
2024-06-01,21,Worldwide
2024-07-01,27,Worldwide
2024-08-01,23,Worldwide
2024-09-01,34,Worldwide
2024-10-01,29,Worldwide
2024-11-01,41,Worldwide
2024-12-01,57,Worldwide
2025-01-01,43,Worldwide
2025-02-01,33,Worldwide
2025-03-01,26,Worldwide
2025-04-01,22,Worldwide
2025-05-01,27,Worldwide
2025-06-01,21,Worldwide
2025-07-01,22,Worldwide
2025-08-01,34,Worldwide
2025-09-01,35,Worldwide
2025-10-01,42,Worldwide
2025-11-01,67,Worldwide
2025-12-01,80,Worldwide
2026-01-01,63,Worldwide
2026-02-01,100,Worldwide
2026-03-01,30,Worldwide
2026-04-01,36,Worldwide
2026-05-01,35,Worldwide
2021-07-01,17,UAE
2021-08-01,27,UAE
2021-09-01,43,UAE
2021-10-01,33,UAE
2021-11-01,59,UAE
2021-12-01,51,UAE
2022-01-01,38,UAE
2022-02-01,52,UAE
2022-03-01,38,UAE
2022-04-01,33,UAE
2022-05-01,27,UAE
2022-06-01,32,UAE
2022-07-01,38,UAE
2022-08-01,37,UAE
2022-09-01,23,UAE
2022-10-01,34,UAE
2022-11-01,61,UAE
2022-12-01,70,UAE
2023-01-01,62,UAE
2023-02-01,38,UAE
2023-03-01,39,UAE
2023-04-01,34,UAE
2023-05-01,25,UAE
2023-06-01,29,UAE
2023-07-01,34,UAE
2023-08-01,31,UAE
2023-09-01,39,UAE
2023-10-01,41,UAE
2023-11-01,61,UAE
2023-12-01,73,UAE
2024-01-01,72,UAE
2024-02-01,60,UAE
2024-03-01,42,UAE
2024-04-01,39,UAE
2024-05-01,37,UAE
2024-06-01,67,UAE
2024-07-01,60,UAE
2024-08-01,53,UAE
2024-09-01,30,UAE
2024-10-01,41,UAE
2024-11-01,58,UAE
2024-12-01,98,UAE
2025-01-01,93,UAE
2025-02-01,55,UAE
2025-03-01,53,UAE
2025-04-01,46,UAE
2025-05-01,31,UAE
2025-06-01,35,UAE
2025-07-01,31,UAE
2025-08-01,39,UAE
2025-09-01,32,UAE
2025-10-01,37,UAE
2025-11-01,82,UAE
2025-12-01,84,UAE
2026-01-01,100,UAE
2026-02-01,68,UAE
2026-03-01,44,UAE
2026-04-01,34,UAE
2026-05-01,50,UAE
2021-07-01,38,India
2021-08-01,29,India
2021-09-01,31,India
2021-10-01,34,India
2021-11-01,53,India
2021-12-01,54,India
2022-01-01,57,India
2022-02-01,38,India
2022-03-01,28,India
2022-04-01,25,India
2022-05-01,25,India
2022-06-01,39,India
2022-07-01,28,India
2022-08-01,29,India
2022-09-01,41,India
2022-10-01,38,India
2022-11-01,81,India
2022-12-01,70,India
2023-01-01,64,India
2023-02-01,41,India
2023-03-01,28,India
2023-04-01,25,India
2023-05-01,24,India
2023-06-01,28,India
2023-07-01,26,India
2023-08-01,39,India
2023-09-01,37,India
2023-10-01,53,India
2023-11-01,83,India
2023-12-01,95,India
2024-01-01,80,India
2024-02-01,52,India
2024-03-01,39,India
2024-04-01,26,India
2024-05-01,37,India
2024-06-01,75,India
2024-07-01,52,India
2024-08-01,40,India
2024-09-01,33,India
2024-10-01,39,India
2024-11-01,58,India
2024-12-01,69,India
2025-01-01,61,India
2025-02-01,40,India
2025-03-01,31,India
2025-04-01,27,India
2025-05-01,24,India
2025-06-01,27,India
2025-07-01,27,India
2025-08-01,30,India
2025-09-01,31,India
2025-10-01,47,India
2025-11-01,79,India
2025-12-01,100,India
2026-01-01,82,India
2026-02-01,57,India
2026-03-01,47,India
2026-04-01,32,India
2026-05-01,29,India
